Start;29/11/2025;16h49;End;?;?;Day;Hour;;A;B;C;Dilution;Day;Time (h);Time (s);OD 0A;Std 0A;OD 0B;Std 0B;OD 0C;Std 0C;OD 1A;Std 1A;OD 1B;Std 1B;OD 1C;Std 1C;OD 2A;Std 2A;OD 2B;Std 2B;OD 2C;Std 2C;OD 3A;Std 3A;OD 3B;Std 3B;OD 3C;Std 3C;OD 4A;Std 4A;OD 4B;Std 4B;OD 4C;Std 4C;mean 0;std 0;mean 1;std 1;mean 2;std 2;mean 3;std 3;mean 4;std 4;dilution 0;dilution 1;dilution 2;dilution 3;dilution 4;OD 0A NC;OD 0B NC;OD 0C NC;OD 1A NC;OD 1B NC;OD 1C NC;OD 2A NC;OD 2B NC;OD 2C NC;OD 3A NC;OD 3B NC;OD 3C NC;OD 4A NC;OD 4B NC;OD 4C NC;mean 0 NC;mean 1 NC;mean 2 NC;mean 3 NC;mean 4 NC
;;;;;;;;2;0.027;0.03;0.034;1;02/12/2025;20h26;272220;0.394;0.00264575131106459;0.454;0.00264575131106459;0.495333333333333;0.00321455025366432;0.362;0.00556776436283003;0.467333333333333;0.00230940107675849;0.826;0.00264575131106459;0.332333333333333;0.00208166599946613;0.302666666666667;0.00513160143944689;0.367;0.00556776436283003;0.261333333333333;0.00351188458428425;0.311666666666667;0.00321455025366432;0.244;0.003;0.209333333333333;0.00251661147842359;0.239666666666667;0.0030550504633039;0.322333333333333;0.00585946527708232;0.447777777777778;0.0509524106215609;0.551777777777778;0.243253259275489;0.334;0.0321990338019292;0.272333333333333;0.0351488896616158;0.257111111111111;0.0584848825037845;2;2;1;1;1;0.197;0.227;0.247666666666667;0.181;0.233666666666667;0.413;0.332333333333333;0.302666666666667;0.367;0.261333333333333;0.311666666666667;0.244;0.209333333333333;0.239666666666667;0.322333333333333;0.223888888888889;0.275888888888889;0.334;0.272333333333333;0.257111111111111
;;;;;;;;;0.03;0.029;0.033;1;03/12/2025;8h08;314340;0.471333333333333;0.001;0.558666666666667;0.00321455025366432;0.52;0.00435889894354068;0.412;0.001;0.517333333333333;0.00321455025366432;1.024;0.00435889894354068;0.373333333333333;0.00378593889720019;0.332666666666667;0.00152752523165195;0.402666666666667;0.00404145188432737;0.337333333333333;0.00152752523165195;0.355333333333333;0.00416333199893227;0.282;0.00458257569495583;0.218333333333333;0.000577350269189626;0.267666666666667;0.00208166599946613;0.356666666666667;0.00115470053837925;0.516666666666667;0.0437619824860702;0.651111111111111;0.327197754225744;0.369555555555556;0.0351525774830766;0.324888888888889;0.0382176999908758;0.280888888888889;0.0701081175624344;2;2;2;2;1;0.235666666666667;0.279333333333333;0.26;0.206;0.258666666666667;0.512;0.186666666666667;0.166333333333333;0.201333333333333;0.168666666666667;0.177666666666667;0.141;0.218333333333333;0.267666666666667;0.356666666666667;0.258333333333333;0.325555555555556;0.184777777777778;0.162444444444444;0.280888888888889
;;;;;;;;;0.031;0.029;0.034;1;03/12/2025;10h53;324240;0.496666666666667;0.00416333199893227;0.541333333333333;0.00585946527708232;0.55;0.002;0.425333333333333;0.00288675134594813;0.555333333333333;0.00493288286231625;1.05133333333333;0.0045092497528229;0.406666666666667;0.00503322295684716;0.342666666666667;0.00208166599946612;0.401333333333333;0.00305505046330388;0.296666666666667;0.00321455025366432;0.36;0.00264575131106459;0.280666666666667;0.00152752523165193;0.223666666666667;0.00832666399786454;0.266333333333333;0.00152752523165195;0.359333333333333;0.00404145188432738;0.529333333333333;0.0286201172448876;0.677333333333333;0.330351328134155;0.383555555555556;0.0355110832985568;0.312444444444444;0.0419541195611128;0.283111111111111;0.069372051155213;2;2;2;2;1;0.248333333333333;0.270666666666667;0.275;0.212666666666667;0.277666666666667;0.525666666666667;0.203333333333333;0.171333333333333;0.200666666666667;0.148333333333333;0.18;0.140333333333333;0.223666666666667;0.266333333333333;0.359333333333333;0.264666666666667;0.338666666666667;0.191777777777778;0.156222222222222;0.283111111111111
;;;;;;;;mean 2;0.0293333333333333;0.0293333333333333;0.0336666666666667;1;03/12/2025;13h25;333360;0.51;0.002;0.599333333333333;0.00750555349946514;0.57;0.00458257569495582;0.435333333333333;0.00493288286231625;0.545333333333333;0.00251661147842359;1.05066666666667;0.00378593889720019;0.392;0.002;0.330666666666667;0.00503322295684717;0.41;0.00299999999999999;0.296;0.00360555127546399;0.347333333333333;0.00550757054728609;0.274;0.00360555127546398;0.231666666666667;0.00493288286231624;0.269333333333333;0.00208166599946613;0.365666666666667;0.00602771377334171;0.559777777777778;0.0455354969389979;0.677111111111111;0.328150597766962;0.377555555555556;0.0415923782191633;0.305777777777778;0.0376317438892771;0.288888888888889;0.0691072703470104;2;2;2;2;1;0.255;0.299666666666667;0.285;0.217666666666667;0.272666666666667;0.525333333333333;0.196;0.165333333333333;0.205;0.148;0.173666666666667;0.137;0.231666666666667;0.269333333333333;0.365666666666667;0.279888888888889;0.338555555555556;0.188777777777778;0.152888888888889;0.288888888888889
;;;;;;;;dilution 2;0.0293333333333333;0.0293333333333333;0.0336666666666667;;03/12/2025;17h17;347280;0.528;0.00608276253029822;0.614666666666667;0.0045092497528229;0.606666666666667;0.00115470053837925;0.453333333333333;0.00152752523165195;0.585333333333333;0.00321455025366432;1.116;0.004;0.398;0.001;0.363333333333333;0.00351188458428425;0.424;0.003;0.334666666666667;0.00208166599946613;0.370666666666667;0.00115470053837925;0.326;0.002;0.230666666666667;0.00115470053837925;0.272666666666667;0.00378593889720019;0.378666666666667;0.00461880215351701;0.583111111111111;0.0478949467681709;0.718222222222222;0.350751151630854;0.395111111111111;0.0304363330637968;0.343777777777778;0.0236862204042147;0.294;0.0762714450717524;2;2;2;2;1;0.264;0.307333333333333;0.303333333333333;0.226666666666667;0.292666666666667;0.558;0.199;0.181666666666667;0.212;0.167333333333333;0.185333333333333;0.163;0.230666666666667;0.272666666666667;0.378666666666667;0.291555555555556;0.359111111111111;0.197555555555556;0.171888888888889;0.294
;;;;;;;;3;0.029;0.031;0.042;1;04/12/2025;8h17;401280;0.633333333333333;0.00404145188432738;0.686666666666667;0.00251661147842357;0.64;0.00264575131106459;0.481333333333333;0.00208166599946613;0.628;0.004;1.25733333333333;0.00503322295684717;0.443333333333333;0.00251661147842359;0.358666666666667;0.00737111479583198;0.473333333333333;0.00351188458428423;0.324;0.003;0.396666666666667;0.00321455025366432;0.334;0.00173205080756888;0.247666666666667;0.00351188458428425;0.304;0.003;0.412333333333333;0.00493288286231625;0.653333333333333;0.0290593262902711;0.788888888888889;0.412259537095173;0.425111111111111;0.0594655206665856;0.351555555555556;0.039386028731763;0.321333333333333;0.0836905676352546;4;4;2;2;1;0.158333333333333;0.171666666666667;0.16;0.120333333333333;0.157;0.314333333333333;0.221666666666667;0.179333333333333;0.236666666666667;0.162;0.198333333333333;0.167;0.247666666666667;0.304;0.412333333333333;0.163333333333333;0.197222222222222;0.212555555555556;0.175777777777778;0.321333333333333
;;;;;;;;;0.031;0.032;0.043;1;04/12/2025;11h01;411120;0.549333333333333;0.00230940107675851;0.596;0.001;0.649333333333333;0.00115470053837925;0.450666666666667;0.00378593889720019;0.596;0.00360555127546399;1.28133333333333;0.00115470053837925;0.415333333333333;0.00404145188432738;0.378;0.00264575131106459;0.640666666666667;0.00115470053837925;0.326666666666667;0.000577350269189626;0.38;0.005;0.304;0.00173205080756888;0.241666666666667;0.00321455025366432;0.297;0.00264575131106459;0.417;0.00264575131106459;0.598222222222222;0.0500370233297676;0.776;0.443623463962151;0.478;0.142104812648193;0.336888888888889;0.0390175648954464;0.318555555555556;0.0896321701507105;4;4;2;2;1;0.137333333333333;0.149;0.162333333333333;0.112666666666667;0.149;0.320333333333333;0.207666666666667;0.189;0.320333333333333;0.163333333333333;0.19;0.152;0.241666666666667;0.297;0.417;0.149555555555556;0.194;0.239;0.168444444444444;0.318555555555556
;;;;;;;;;0.029;0.034;0.044;1;04/12/2025;17h53;435840;0.612;0.00360555127546399;0.745333333333333;0.00503322295684717;0.724;0.00264575131106459;0.577333333333333;0.00152752523165195;0.697333333333333;0.000577350269189626;1.31466666666667;0.00351188458428425;0.458;0.00264575131106459;0.389333333333333;0.00351188458428425;0.455333333333333;0.00404145188432738;0.344666666666667;0.00251661147842357;0.428;0.002;0.331333333333333;0.00152752523165195;0.264666666666667;0.0141539158303748;0.308666666666667;0.00513160143944689;0.432333333333333;0.00378593889720019;0.693777777777778;0.0716203985012753;0.863111111111111;0.39563469869921;0.434222222222222;0.0388977767621369;0.368;0.0523874454850059;0.335222222222222;0.0869305810743605;4;4;2;2;1;0.153;0.186333333333333;0.181;0.144333333333333;0.174333333333333;0.328666666666667;0.229;0.194666666666667;0.227666666666667;0.172333333333333;0.214;0.165666666666667;0.264666666666667;0.308666666666667;0.432333333333333;0.173444444444444;0.215777777777778;0.217111111111111;0.184;0.335222222222222
;;;;;;;;mean 3;0.0296666666666667;0.0323333333333333;0.043;1;05/12/2025;8h20;487860;0.745333333333333;0.00472581562625261;0.828;0.00866025403784438;0.748;0.002;0.537333333333333;0.00152752523165195;0.712;0.00173205080756888;1.41066666666667;0.0030550504633039;0.504666666666667;0.00152752523165195;0.446666666666667;0.00230940107675851;0.506;0.00264575131106459;0.408666666666667;0.00230940107675849;0.464;0.00346410161513776;0.378666666666667;0.000577350269189626;0.309333333333333;0.0248260615751539;0.355;0.013076696830622;0.454333333333333;0.040153870714208;0.773777777777778;0.0469767475972402;0.886666666666667;0.462124562332615;0.485777777777778;0.0338777759556867;0.417111111111111;0.0432888660734596;0.372888888888889;0.074136760512308;4;4;2;2;1;0.186333333333333;0.207;0.187;0.134333333333333;0.178;0.352666666666667;0.252333333333333;0.223333333333333;0.253;0.204333333333333;0.232;0.189333333333333;0.309333333333333;0.355;0.454333333333333;0.193444444444444;0.221666666666667;0.242888888888889;0.208555555555556;0.372888888888889
;;;;;;;;dilution 3;0.0296666666666667;0.0323333333333333;0.043;;05/12/2025;11h12;498180;0.706666666666667;0.00115470053837925;0.756;0.003;0.824;0.00264575131106458;0.533333333333333;0.00152752523165195;0.718666666666667;0.00251661147842359;1.42;0.003;0.488666666666667;0.00152752523165195;0.435333333333333;0.00568624070307733;0.534;0.00556776436283003;0.415333333333333;0.00321455025366432;0.508;0.00173205080756888;0.395333333333333;0.00351188458428425;0.29;0.0242693221990232;0.356666666666667;0.0167729941672122;0.476333333333333;0.0045092497528229;0.762222222222222;0.0589136216406258;0.890666666666667;0.467688405291862;0.486;0.049387357806539;0.439555555555556;0.0601122406958978;0.374333333333333;0.0944145704386304;4;4;2;2;1;0.176666666666667;0.189;0.206;0.133333333333333;0.179666666666667;0.355;0.244333333333333;0.217666666666667;0.267;0.207666666666667;0.254;0.197666666666667;0.29;0.356666666666667;0.476333333333333;0.190555555555556;0.222666666666667;0.243;0.219777777777778;0.374333333333333
;;;;;;;;4;0.031;0.031;0.034;1;05/12/2025;13h36;506820;0.672;0.00360555127546398;0.712;0.001;0.753333333333333;0.00251661147842359;0.58;0.001;0.666666666666667;0.00230940107675851;1.452;0.00264575131106459;0.483333333333333;0.00208166599946613;0.422666666666667;0.0030550504633039;0.518666666666667;0.00404145188432738;0.426;0.003;0.47;0.00346410161513774;0.376666666666667;0.00230940107675851;0.276666666666667;0.00251661147842359;0.348333333333333;0.00288675134594813;0.475;0.00435889894354068;0.712444444444444;0.0406684881195001;0.899555555555556;0.480389348264432;0.474888888888889;0.0485539028449978;0.424222222222222;0.0466920565851211;0.366666666666667;0.100429632634552;4;4;2;2;1;0.168;0.178;0.188333333333333;0.145;0.166666666666667;0.363;0.241666666666667;0.211333333333333;0.259333333333333;0.213;0.235;0.188333333333333;0.276666666666667;0.348333333333333;0.475;0.178111111111111;0.224888888888889;0.237444444444444;0.212111111111111;0.366666666666667
;;;;;;;;;0.029;0.03;0.032;1;05/12/2026;17h39;521400;0.728;0.00264575131106459;0.778666666666667;0.000577350269189626;0.808;0.00360555127546398;0.561333333333333;0.00378593889720017;0.706666666666667;0.00251661147842359;1.42533333333333;0.00152752523165195;0.501333333333333;0.00152752523165195;0.451333333333333;0.00288675134594813;0.4992;0.0206659139647875;0.432666666666667;0.00351188458428425;0.488666666666667;0.00288675134594813;0.38;3.3993498887763E-17;0.282666666666667;0.00321455025366429;0.347333333333333;0.00208166599946613;0.493666666666667;0.0045092497528229;0.771555555555556;0.0404712975567368;0.897777777777778;0.462619273909543;0.483955555555556;0.0282718024684457;0.433777777777778;0.0543418534560336;0.374555555555556;0.108101975176391;4;4;2;2;1;0.182;0.194666666666667;0.202;0.140333333333333;0.176666666666667;0.356333333333333;0.250666666666667;0.225666666666667;0.2496;0.216333333333333;0.244333333333333;0.19;0.282666666666667;0.347333333333333;0.493666666666667;0.192888888888889;0.224444444444444;0.241977777777778;0.216888888888889;0.374555555555556
;;;;;;;;;0.029;0.028;0.036;1;06/12/2025;15h56;601620;0.804;0.001;0.852;0.00346410161513776;0.921333333333333;0.00251661147842359;0.604;0.00173205080756888;0.829333333333333;0.00503322295684716;1.51866666666667;0.00321455025366432;0.526;0.00264575131106459;0.519333333333333;0.00230940107675851;0.602;0;0.447333333333333;0.00472581562625261;0.584;0.00360555127546399;0.444;0.00793725393319378;0.343666666666667;0.00503322295684714;0.382;0.00435889894354068;0.547;0.00264575131106459;0.859111111111111;0.058989013415243;0.984;0.476544972810658;0.549111111111111;0.0459242532550834;0.491777777777778;0.0798841754134157;0.424222222222222;0.108042344236638;4;4;2;2;1;0.201;0.213;0.230333333333333;0.151;0.207333333333333;0.379666666666667;0.263;0.259666666666667;0.301;0.223666666666667;0.292;0.222;0.343666666666667;0.382;0.547;0.214777777777778;0.246;0.274555555555555;0.245888888888889;0.424222222222222
;;;;;;;;mean 4;0.0296666666666667;0.0296666666666667;0.034;1;07/12/2025;10h42;582780;0.865333333333333;0.00208166599946613;0.934666666666667;0.00450924975282288;0.946666666666667;0.00251661147842357;0.710666666666667;0.00208166599946613;0.896;0.00360555127546399;1.62666666666667;0.00230940107675847;0.596666666666667;0.00251661147842359;0.547333333333333;0.00208166599946613;0.647333333333333;0.00251661147842359;0.502666666666667;0.00208166599946613;0.624;0.00264575131106459;0.479333333333333;0.00404145188432738;0.358666666666667;0.00472581562625261;0.424;0.0088881944173156;0.563;0.00264575131106453;0.915555555555556;0.0439056226889416;1.07777777777778;0.484299876492211;0.597111111111111;0.0500014814595343;0.535333333333333;0.0776688125597681;0.448555555555556;0.104356404974775;4;4;2;2;1;0.216333333333333;0.233666666666667;0.236666666666667;0.177666666666667;0.224;0.406666666666667;0.298333333333333;0.273666666666667;0.323666666666667;0.251333333333333;0.312;0.239666666666667;0.358666666666667;0.424;0.563;0.228888888888889;0.269444444444444;0.298555555555556;0.267666666666667;0.448555555555556
;;;;;;;;dilution 4 ;0.0296666666666667;0.0296666666666667;0.034;;08/12/2025;8h17;746880;0.938666666666667;0.00321455025366431;1.03466666666667;0.00416333199893227;1.04133333333333;0.00472581562625261;0.749333333333333;0.00378593889720019;0.921333333333333;0.00351188458428425;1.75733333333333;0.000577350269189626;0.674;0.00608276253029822;0.589333333333333;0.00503322295684717;0.708;0.005;0.548666666666667;0.00321455025366432;0.665333333333333;0.000577350269189626;0.545333333333333;0.00152752523165195;0.384666666666667;0.00230940107675851;0.445333333333333;0.0045092497528229;0.601;0.00360555127546399;1.00488888888889;0.0574469159150267;1.14266666666667;0.539219188580426;0.657111111111111;0.0611094949281236;0.586444444444444;0.0683401080652523;0.477;0.111589027736203;4;4;2;2;1;0.234666666666667;0.258666666666667;0.260333333333333;0.187333333333333;0.230333333333333;0.439333333333333;0.337;0.294666666666667;0.354;0.274333333333333;0.332666666666667;0.272666666666667;0.384666666666667;0.445333333333333;0.601;0.251222222222222;0.285666666666667;0.328555555555555;0.293222222222222;0.477
;;;;;;30/11/2025;17h41;0;0.02;0.029;0.026;1;08/12/2025;11h08;757140;0.901333333333333;0.00378593889720019;1.05733333333333;0.00321455025366432;1.01466666666667;0.00321455025366432;0.722666666666667;0.00208166599946613;1.00133333333333;0.00404145188432738;1.73333333333333;0.00251661147842359;0.673333333333333;0.0045092497528229;0.632;0.00173205080756888;0.664666666666667;0.00351188458428425;0.558;0.001;0.673333333333333;0.00251661147842359;0.528666666666667;0.00378593889720019;0.387666666666667;0.00416333199893227;0.455;0.00793725393319378;0.594333333333333;0.00416333199893227;0.991111111111111;0.0806234962535621;1.15244444444444;0.522003547596856;0.656666666666667;0.0217970436323624;0.586666666666667;0.076475123043016;0.479;0.105402930593878;4;4;2;2;1;0.225333333333333;0.264333333333333;0.253666666666667;0.180666666666667;0.250333333333333;0.433333333333333;0.336666666666667;0.316;0.332333333333333;0.279;0.336666666666667;0.264333333333333;0.387666666666667;0.455;0.594333333333333;0.247777777777778;0.288111111111111;0.328333333333333;0.293333333333333;0.479
