Start;21/10/2024;10h29;End;;;Day;Hour;;A;B;C;Dilution;Day;Time (h);Time (s);OD 0A;Std 0A;OD 0B;Std 0B;OD 0C;Std 0C;OD 1A;Std 1A;OD 1B;Std 1B;OD 1C;Std 1C;OD 2A;Std 2A;OD 2B;Std 2B;OD 2C;Std 2C;OD 3A;Std 3A;OD 3B;Std 3B;OD 3C;Std 3C;OD 4A;Std 4A;OD 4B;Std 4B;OD 4C;Std 4C;mean 0;std 0;mean 1;std 1;mean 2;std 2;mean 3;std 3;mean 4;std 4;dilution 0;dilution 1;dilution 2;dilution 3;dilution 4;OD 0A NC;OD 0B NC;OD 0C NC;OD 1A NC;OD 1B NC;OD 1C NC;OD 2A NC;OD 2B NC;OD 2C NC;OD 3A NC;OD 3B NC;OD 3C NC;OD 4A NC;OD 4B NC;OD 4C NC;mean 0 NC;mean 1 NC;mean 2 NC;mean 3 NC;mean 4 NC
;;;;;;;;2;0.027;0.025;0.021;1;24/10/2024;16h06;279420;4.86666666666667;0.00650640709864772;5.06666666666667;0.00251661147842359;5.38;0.00435889894354068;3.02;0;3.38666666666667;0.00321455025366431;3.49333333333333;0.0087368949480541;2.38;0.001;2.45;0.00556776436283003;2.51;0.002;1.64333333333333;0.00152752523165195;1.69;0.00264575131106459;1.74333333333333;0.00115470053837925;0.813333333333333;0.00208166599946613;0.768333333333333;0.00115470053837925;0.836666666666667;0.00378593889720019;5.10444444444444;0.258743402134525;3.3;0.248282992660481;2.44666666666667;0.0650640709864771;1.69222222222222;0.0500370233297675;0.806111111111111;0.0347344422940903;20;20;10;10;5;0.243333333333333;0.253333333333333;0.269;0.151;0.169333333333333;0.174666666666667;0.238;0.245;0.251;0.164333333333333;0.169;0.174333333333333;0.162666666666667;0.153666666666667;0.167333333333333;0.255222222222222;0.165;0.244666666666667;0.169222222222222;0.161222222222222
;;;;;;;;;0.028;0.02;0.018;1;25/10/2024;8h30;338460;4.92;0.000999999999999987;5.37333333333333;0.00208166599946613;5.88;0.00115470053837925;3.44;0.000999999999999987;3.54666666666667;0.00208166599946613;3.63333333333333;0.00115470053837925;2.54666666666667;0.000577350269189626;2.59333333333333;0.00351188458428425;2.53;0.00458257569495584;1.61333333333333;0.00152752523165195;1.64;0.00346410161513776;1.67666666666667;0.00351188458428425;0.838333333333333;0.00208166599946613;0.911666666666667;0.00230940107675851;0.846666666666667;0.00115470053837925;5.39111111111111;0.480246850106315;3.54;0.0968389269755593;2.55666666666667;0.0328295260059872;1.64333333333333;0.0317979733805648;0.865555555555556;0.040150181033677;20;20;10;10;5;0.246;0.268666666666667;0.294;0.172;0.177333333333333;0.181666666666667;0.254666666666667;0.259333333333333;0.253;0.161333333333333;0.164;0.167666666666667;0.167666666666667;0.182333333333333;0.169333333333333;0.269555555555556;0.177;0.255666666666667;0.164333333333333;0.173111111111111
;;;;;;;;;0.029;0.023;0.021;1;25/10/2024;11h20;348660;5.96666666666667;0.00378593889720019;6.29333333333333;0.00208166599946613;6.80666666666667;0.00152752523165195;3.83333333333333;0.00513160143944689;3.93333333333333;0.0030550504633039;4.21333333333333;0.00378593889720019;2.71;0.00435889894354068;2.87666666666667;0.00378593889720019;3.08;0.00435889894354068;1.79;0.00264575131106459;1.74333333333333;0.00115470053837925;1.87;0.00264575131106459;0.94;0.00173205080756888;0.93;0.001;0.903333333333333;0.00378593889720019;6.35555555555556;0.423442680540949;3.99333333333333;0.196977156035922;2.88888888888889;0.185302555398022;1.80111111111111;0.0640601569128869;0.924444444444445;0.0189541356769245;20;20;10;10;5;0.298333333333333;0.314666666666667;0.340333333333333;0.191666666666667;0.196666666666667;0.210666666666667;0.271;0.287666666666667;0.308;0.179;0.174333333333333;0.187;0.188;0.186;0.180666666666667;0.317777777777778;0.199666666666667;0.288888888888889;0.180111111111111;0.184888888888889
;;;;;;;;mean 2;0.028;0.0226666666666667;0.02;1;25/10/2024;15h57;365280;5.62;0.00264575131106456;6.73333333333333;0.0030550504633039;7.17333333333333;0.00472581562625261;3.80666666666667;0.0066583281184794;4.05333333333333;0.00461880215351699;3.98;0.00173205080756888;2.81666666666667;0.00513160143944686;3.03333333333333;0.00550757054728611;2.99333333333333;0.0030550504633039;1.76333333333333;0.0065064070986477;1.76;0.001;1.86333333333333;0.000577350269189626;0.903333333333333;0.00230940107675851;0.92;0.00264575131106459;0.94;0.00264575131106459;6.50888888888889;0.800620130019594;3.94666666666667;0.126666666666667;2.94777777777778;0.115293506289784;1.79555555555556;0.0587209344965502;0.921111111111111;0.0183585684909538;20;20;10;10;5;0.281;0.336666666666667;0.358666666666667;0.190333333333333;0.202666666666667;0.199;0.281666666666667;0.303333333333333;0.299333333333333;0.176333333333333;0.176;0.186333333333333;0.180666666666667;0.184;0.188;0.325444444444444;0.197333333333333;0.294777777777778;0.179555555555556;0.184222222222222
;;;;;;;;dilution 2;0.028;0.0226666666666667;0.02;;28/10/2024;8h21;597120;11.35;0.003;8.71666666666667;0.00152752523165195;9.71666666666667;0.00321455025366432;4.78;0.001;4.78;0.00264575131106459;4.76;0.001;2.87333333333333;0.00115470053837925;3.02;0.00346410161513776;3.08666666666667;0.00321455025366432;1.76;0.001;1.81333333333333;0.00321455025366432;1.85;0.002;0.886666666666667;0.00152752523165195;0.893333333333333;0.00251661147842359;0.881666666666667;0.00321455025366432;9.92777777777778;1.32929945348557;4.77333333333333;0.0115470053837923;2.99333333333333;0.1091380369583;1.80777777777778;0.0452564707875915;0.887222222222222;0.0058531409738071;50;20;10;10;5;0.227;0.174333333333333;0.194333333333333;0.239;0.239;0.238;0.287333333333333;0.302;0.308666666666667;0.176;0.181333333333333;0.185;0.177333333333333;0.178666666666667;0.176333333333333;0.198555555555556;0.238666666666667;0.299333333333333;0.180777777777778;0.177444444444444
;;;;;;;;3;0.03;0.028;0.026;1;28/10/2024;13h20;618660;10.7666666666667;0.0030550504633039;8.9;0.003;9.11666666666667;0.00351188458428425;4.32;0.003;4.04;0.00458257569495583;4.2;0.001;2.45333333333333;0.00351188458428425;2.14;0.001;2.71333333333333;0.00503322295684717;1.52333333333333;0.00251661147842359;1.52333333333333;0.00152752523165195;1.51666666666667;0.00115470053837925;0.825;0.003;0.85;0;0.87;0.00264575131106458;9.59444444444444;1.02093820323015;4.18666666666667;0.14047538337137;2.43555555555556;0.28707980565483;1.52111111111111;0.00384900179459759;0.848333333333333;0.0225462487641145;50;20;10;10;5;0.215333333333333;0.178;0.182333333333333;0.216;0.202;0.21;0.245333333333333;0.214;0.271333333333333;0.152333333333333;0.152333333333333;0.151666666666667;0.165;0.17;0.174;0.191888888888889;0.209333333333333;0.243555555555556;0.152111111111111;0.169666666666667
;;;;;;;;;0.029;0.033;0.027;1;28/10/2024;16h04;624900;10.6333333333333;0.00208166599946613;8.4;0.001;8.33333333333333;0.00115470053837925;4.06666666666667;0.00321455025366431;3.94666666666667;0.00115470053837925;4.28666666666667;0.00208166599946613;2.57;0.004;2.52333333333333;0.00251661147842359;2.69;0.001;1.49666666666667;0.00251661147842359;1.37;0.00173205080756888;1.65;0.00608276253029821;0.836666666666667;0.00288675134594813;0.853333333333333;0.00230940107675849;0.816666666666667;0.00115470053837925;9.12222222222222;1.30908506358591;4.1;0.172433562085034;2.59444444444444;0.0859801872095695;1.50555555555556;0.140211480483088;0.835555555555556;0.0183585684909537;50;20;10;10;5;0.212666666666667;0.168;0.166666666666667;0.203333333333333;0.197333333333333;0.214333333333333;0.257;0.252333333333333;0.269;0.149666666666667;0.137;0.165;0.167333333333333;0.170666666666667;0.163333333333333;0.182444444444444;0.205;0.259444444444444;0.150555555555556;0.167111111111111
;;;;;;;;;0.028;0.031;0.028;1;29/10/2024;8h20;683460;11.7833333333333;0.000577350269189626;7.6;0;9.03333333333333;0.00208166599946613;4.3;0.002;3.96666666666667;0.00152752523165195;4.23333333333333;0.00152752523165195;2.19333333333333;0.00152752523165195;2.45666666666667;0.00472581562625261;2.58666666666667;0.00208166599946613;1.53666666666667;0.00288675134594813;1.45666666666667;0.00152752523165195;1.42;0.00519615242270662;0.786666666666667;0.00321455025366432;0.808333333333333;0.00115470053837925;0.755;0.00264575131106459;9.47222222222222;2.12592028002863;4.16666666666667;0.176383420737639;2.41222222222222;0.200397752630261;1.47111111111111;0.0596595278162612;0.783333333333333;0.0268224615657184;50;20;10;10;5;0.235666666666667;0.152;0.180666666666667;0.215;0.198333333333333;0.211666666666667;0.219333333333333;0.245666666666667;0.258666666666667;0.153666666666667;0.145666666666667;0.142;0.157333333333333;0.161666666666667;0.151;0.189444444444444;0.208333333333333;0.241222222222222;0.147111111111111;0.156666666666667
;;;;;;;;mean 3;0.029;0.0306666666666667;0.027;1;29/10/2024;13h43;702840;11.9;0.002;8.03333333333333;0.00288675134594813;8.08333333333333;0.000577350269189626;4.33333333333333;0.00404145188432738;3.62666666666667;0.00208166599946613;4.52666666666667;0.00208166599946613;2.59;0.00360555127546399;2.52;0.00264575131106459;2.62;0.00173205080756888;1.61;0.001;1.41666666666667;0.00152752523165193;1.36;0.001;0.795;0.001;0.813333333333333;0.00321455025366432;0.783333333333333;0.00152752523165195;9.33888888888889;2.21812817316597;4.16222222222222;0.473771315361388;2.57666666666667;0.0513160143944689;1.46222222222222;0.131078150282499;0.797222222222222;0.0151229528764624;50;20;10;10;5;0.238;0.160666666666667;0.161666666666667;0.216666666666667;0.181333333333333;0.226333333333333;0.259;0.252;0.262;0.161;0.141666666666667;0.136;0.159;0.162666666666667;0.156666666666667;0.186777777777778;0.208111111111111;0.257666666666667;0.146222222222222;0.159444444444444
;;;;;;;;dilution 3;0.029;0.0306666666666667;0.027;;29/10/2024;16h41;713520;12.8166666666667;0.00493288286231625;9.95;0.00435889894354066;9.6;0.001;4.44;0.003;4.36666666666667;0.00288675134594813;4.46;0.001;2.36666666666667;0.00404145188432737;2.61333333333333;0.00208166599946613;2.64333333333333;0.00251661147842359;1.51;0.002;1.54333333333333;0.00351188458428425;1.59666666666667;0.00230940107675851;0.76;0.001;0.785;0.001;0.786666666666667;0.00152752523165195;10.7888888888889;1.76480509888119;4.42222222222222;0.0491407653055464;2.54111111111111;0.151816165635113;1.55;0.0437162568286799;0.777222222222222;0.0149381440663875;50;20;10;10;5;0.256333333333333;0.199;0.192;0.222;0.218333333333333;0.223;0.236666666666667;0.261333333333333;0.264333333333333;0.151;0.154333333333333;0.159666666666667;0.152;0.157;0.157333333333333;0.215777777777778;0.221111111111111;0.254111111111111;0.155;0.155444444444444
;;;;;;;;4;0.022;0.03;0.032;1;30/10/2024;8h21;769920;13.0833333333333;0.00251661147842359;10.6333333333333;0.00115470053837925;9.43333333333333;0.00152752523165195;4.72;0.001;4.43333333333333;0.0030550504633039;4.5;0.003;2.55666666666667;0.00351188458428425;2.40666666666667;0.00230940107675851;2.60333333333333;0.000577350269189626;1.53333333333333;0.00115470053837925;1.43333333333333;0.00230940107675851;1.58333333333333;0.00251661147842359;0.715;0.00173205080756888;0.79;0.001;0.745;0.001;11.05;1.86033151167563;4.55111111111111;0.150012345171001;2.52222222222222;0.102758256404336;1.51666666666667;0.0763762615825974;0.75;0.0377491721763538;50;20;10;10;5;0.261666666666667;0.212666666666667;0.188666666666667;0.236;0.221666666666667;0.225;0.255666666666667;0.240666666666667;0.260333333333333;0.153333333333333;0.143333333333333;0.158333333333333;0.143;0.158;0.149;0.221;0.227555555555556;0.252222222222222;0.151666666666667;0.15
;;;;;;;;;0.022;0.032;0.032;1;30/10/2024;14h21;791520;11.35;0.004;10.3666666666667;0.00251661147842359;8.3;0.001;4.43333333333333;0.00513160143944689;3.77333333333333;0.00115470053837925;4.12;0.002;2.39;0.00173205080756888;2.40666666666667;0.00208166599946613;2.61333333333333;0.00493288286231625;1.37333333333333;0.00404145188432737;1.48333333333333;0.00288675134594813;1.47333333333333;0.00251661147842359;0.721666666666667;0.0030550504633039;0.735;0.00173205080756888;0.705;0.00264575131106458;10.0055555555556;1.55673566347209;4.10888888888889;0.330140261998734;2.47;0.12440971737681;1.44333333333333;0.0608276253029821;0.720555555555556;0.0150308325094096;50;20;10;10;5;0.227;0.207333333333333;0.166;0.221666666666667;0.188666666666667;0.206;0.239;0.240666666666667;0.261333333333333;0.137333333333333;0.148333333333333;0.147333333333333;0.144333333333333;0.147;0.141;0.200111111111111;0.205444444444444;0.247;0.144333333333333;0.144111111111111
;;;;;;;;;0.022;0.028;0.033;1;30/10/2024;16h31;799320;12.6666666666667;0.000577350269189626;8.95;0.00264575131106459;8.13333333333333;0.00288675134594813;4.49333333333333;0.00208166599946613;4.24;0.001;4.63333333333333;0.00416333199893226;2.49333333333333;0.000577350269189626;2.39333333333333;0.00230940107675851;2.51666666666667;0.0045092497528229;1.41666666666667;0.00208166599946612;1.46333333333333;0.00208166599946613;1.58666666666667;0.00513160143944689;0.698333333333333;0.00115470053837924;0.738333333333333;0.00152752523165195;0.698333333333333;0.000577350269189626;9.91666666666667;2.41632181447569;4.45555555555556;0.199369376154283;2.46777777777778;0.0655178799458026;1.48888888888889;0.0878340185509852;0.711666666666667;0.0230940107675849;50;20;10;10;5;0.253333333333333;0.179;0.162666666666667;0.224666666666667;0.212;0.231666666666667;0.249333333333333;0.239333333333333;0.251666666666667;0.141666666666667;0.146333333333333;0.158666666666667;0.139666666666667;0.147666666666667;0.139666666666667;0.198333333333333;0.222777777777778;0.246777777777778;0.148888888888889;0.142333333333333
;;;;;;;;mean 4;0.022;0.03;0.0323333333333333;1;31/10/2024;8h24;856500;11.75;0.00173205080756886;9.41666666666667;0.00152752523165195;9.63333333333333;0.00230940107675851;4.86666666666667;0.000577350269189626;3.87333333333333;0.00251661147842359;4.58;0.002;2.52666666666667;0.00288675134594813;2.56;0.00264575131106459;2.40666666666667;0.00115470053837925;1.38;0.002;1.34333333333333;0.00208166599946613;1.42;0.00264575131106458;0.583333333333333;0.000577350269189626;0.675;0.00173205080756888;0.668333333333333;0.00321455025366432;10.2666666666667;1.28916424261785;4.44;0.511251188534342;2.49777777777778;0.080645543607218;1.38111111111111;0.0383454087260832;0.642222222222222;0.051108091698253;50;20;10;10;5;0.235;0.188333333333333;0.192666666666667;0.243333333333333;0.193666666666667;0.229;0.252666666666667;0.256;0.240666666666667;0.138;0.134333333333333;0.142;0.116666666666667;0.135;0.133666666666667;0.205333333333333;0.222;0.249777777777778;0.138111111111111;0.128444444444444
;;;;;;;;dilution 4 ;0.022;0.03;0.0323333333333333;;31/10/2024;15h06;880620;13.5833333333333;0.00208166599946613;8.6;0.00199999999999999;9.43333333333333;0.00208166599946613;4.21333333333333;0.00251661147842359;3.96;0.00264575131106459;3.96;0.001;2.04333333333333;0.00251661147842357;2.10666666666667;0.00378593889720019;2.14666666666667;0.00152752523165195;1.22666666666667;0.00115470053837925;1.16333333333333;0.00152752523165194;1.20333333333333;0.00208166599946613;0.651666666666667;0.00321455025366432;0.621666666666667;0.00152752523165195;0.646666666666667;0.00152752523165195;10.5388888888889;2.66928690713317;4.04444444444445;0.146262068194704;2.09888888888889;0.0521038848341925;1.19777777777778;0.0320300784564435;0.64;0.0160727512683215;50;20;10;10;5;0.271666666666667;0.172;0.188666666666667;0.210666666666667;0.198;0.198;0.204333333333333;0.210666666666667;0.214666666666667;0.122666666666667;0.116333333333333;0.120333333333333;0.130333333333333;0.124333333333333;0.129333333333333;0.210777777777778;0.202222222222222;0.209888888888889;0.119777777777778;0.128
;;;;;;22/10/2024;8h26;0;0.089;0.095;0.083;1;31/10/2024;16h58;887340;13.2833333333333;0.00378593889720019;8.86666666666667;0.00472581562625261;8.93333333333333;0.00208166599946613;4.58666666666667;0.00404145188432738;4.08;0.00173205080756886;4.29333333333333;0.00115470053837925;2.5;0.00346410161513776;2.42;0.00173205080756888;2.55333333333333;0.00251661147842359;1.33;0.002;1.29;0.001;1.40666666666667;0.00057735026918961;0.625;0.00360555127546399;0.68;0.00458257569495583;0.66;0.00346410161513776;10.3611111111111;2.53093819524464;4.32;0.254383787044519;2.49111111111111;0.0671096394246291;1.34222222222222;0.0592858736531295;0.655;0.0278388218141501;50;20;10;10;5;0.265666666666667;0.177333333333333;0.178666666666667;0.229333333333333;0.204;0.214666666666667;0.25;0.242;0.255333333333333;0.133;0.129;0.140666666666667;0.125;0.136;0.132;0.207222222222222;0.216;0.249111111111111;0.134222222222222;0.131
;;;;;;;;;0.087;0.1;0.085;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.085;0.1;0.084;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;mean 0;0.087;0.0983333333333333;0.084;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;dilution 0;0.087;0.0983333333333333;0.084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1;0.067;0.099;0.097;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.064;0.101;0.095;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;0.069;0.105;0.096;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
