Date;Hour;Dilution;A;B;C;neg;Mean;Standard deviation;Effectif;Day;Time (h);Time (s);mean 0;std 0;95% confidence interval;mean 1;std 1;95% confidence interval;mean 2;std 2;95% confidence interval;mean 3;std 3;95% confidence interval;mean 4;std 4;95% confidence interval;;Count;Tri 1;Tri 2;Tri 3;Mean;Dilution 1;Dilution 2;Division by volume 1 µL;OD ;Ratio cell/OD (/L);Ratio cell/OD (/mL);Mean per triplicates;
;;3;0.082;0.081;0.078;;0.0803333333333333;0.00208166599946613;3;11/04/2024;9h11;242280;2.41733333333333;0.254820198048219;0.633008463687268;2.15333333333333;0.0996259671638539;0.24748462210133;1.69066666666667;0.110151410945722;0.273631273932776;0.956;0.0416173040933696;0.103383114559721;0.51;0.104651803615609;0.940259150476927;;4B;51;49;40;46.66666667;233.3333333;233.3333333;2333333333;0.76;3070175439;3070175.439;;
;;4;0.067;0.076;0.03;;0.0715;0.00636396103067892;2;11/04/2024;10h11;245880;2.64166666666667;0.29365512652316;0.729479774044998;2.24333333333333;0.107276900278361;0.266490593581155;1.80166666666667;0.0583809329604566;0.145026277214238;0.984;0.0393954312071845;0.0978636763324328;0.538;0.0763675323681471;0.686135055753434;;;;;;;;;;;;;;
;17h00;0;0.108;0.079;0.079;0.01;0.0886666666666667;0.0167431578064991;3;11/04/2024;12h11;253080;2.68333333333333;0.283607710285411;0.704520608463151;2.27166666666667;0.0954375886814693;0.237080113162154;1.77333333333333;0.0732006375199925;0.18184046418758;1.00333333333333;0.0419682419614324;0.104254892552257;0.557;0.111722871427475;1.00379017415781;;;;;;;;;;;;;;
;;1;0.134;0.115;0.121;;0.123333333333333;0.00971253485622231;3;11/04/2024;14h30;261420;2.88833333333333;0.400822071913882;0.995697224543179;2.35666666666667;0.118567842745549;0.294538849565102;1.82833333333333;0.106926766215636;0.265620812351773;1.054;0.0454312667664022;0.112857523067009;0.559;0.10040916292849;0.902140536268411;;;;;;;;;;;;;;
;;2;0.092;0.13;0.09;;0.104;0.0225388553391693;3;11/04/2024;16h10;267420;3.24;0.212308737455621;0.527404141247609;2.48;0.196786686541544;0.488845229208242;1.84833333333333;0.101283430694923;0.25160198976471;1.115;0.0708872343937891;0.176093652239297;0.549;0.0975807358037443;0.876728126796061;;;;;;;;;;;;;;
;;3;0.093;0.096;0.097;;0.0953333333333333;0.00208166599946613;3;11/04/2024;17h30;269820;3.73;0.467653718043599;;2.64;0.160934769394311;;2.03333333333333;0.0723417813807024;;1.22333333333333;0.0763762615825974;;0.594;0.0876812408671314;;;;;;;;;;;;;;;
;;4;0.072;0.095;0.001;;0.0835;0.0162634559672907;2;12/04/2024;9h02;325740;4.36333333333333;0.479305052480498;;3.37333333333333;0.36909799963334;;2.37666666666667;0.0493288286231626;;1.40666666666667;0.0416333199893226;;0.7;0.0905096679918781;;;;;;;;;;;;;;;
;18h15;0;0.127;0.146;0.145;0.011;0.139333333333333;0.0106926766215636;3;12/04/2024;11h32;334740;4.54333333333333;0.224796204001165;;3.35666666666667;0.146401275039985;;2.42333333333333;0.0929157324317758;;1.35;0.0529150262212917;;0.678;0.110308657865102;;;;;;;;;;;;;;;
;;1;0.136;0.152;0.148;;0.145333333333333;0.00832666399786452;3;12/04/2024;13h47;341040;4.73333333333333;0.298384539367128;;3.55;0.25119713374161;;2.44;0.0458257569495585;;1.47;0.0793725393319378;;0.7425;0.081317279836453;;;;;;;;;;;;;;;
;;2;0.11;0.127;0.143;;0.126666666666667;0.0165025250593154;3;12/04/2024;15h28;347100;4.71666666666667;0.420990894596704;;3.55;0.25119713374161;;2.39333333333333;0.0763762615825973;;1.38;0.0529150262212917;;0.71;0.0848528137423857;;;;;;;;;;;;;;;
;;3;0.095;0.105;0.104;;0.101333333333333;0.0055075705472861;3;12/04/2024;17h40;355020;4.75666666666667;0.464901423242964;;3.51666666666667;0.176162803489651;;2.27666666666667;0.170977581376429;;1.37333333333333;0.115470053837925;;0.7;0.0848528137423857;;;;;;;;;;;;;;;
;;4;0.074;0.096;0.001;;0.085;0.0155563491861041;2;12/04/2024;19h23;361200;5.04333333333333;0.386566078870525;;3.58666666666667;0.240277617212535;;2.51666666666667;0.0665832811847939;;1.38333333333333;0.205993527406403;;0.765;0.134350288425444;;;;;;;;;;;;;;;
10/04/2024;9h10;0;0.143;0.141;0.139;0.001;0.142;0.0014142135623731;3;13/04/2024;11h57;420840;5.84333333333333;0.542617114854787;;4.14;0.259807621135332;;2.71333333333333;0.136137185711081;;1.56;0.0781024967590666;;0.79;0.0777817459305202;;;;;;;;;;;;;;;
;;1;0.427;0.284;0.234;;0.315;0.100164864099144;3;13/04/2024;13h48;427500;5.77666666666667;0.469183688264344;;4.06666666666667;0.21594752448994;;2.66333333333333;0.0152752523165196;;1.55666666666667;0.0757187779440037;;0.81;0.0777817459305202;;;;;;;;;;;;;;;
;;2;0.266;0.319;0.268;;0.284333333333333;0.0300388637157489;3;13/04/2024;16h15;436320;5.84;0.471487009365051;;4.13333333333333;0.276827262626594;;2.83;0.0346410161513776;;1.54333333333333;0.066583281184794;;0.7825;0.109601551083915;;;;;;;;;;;;;;;
;;3;0.25;0.27;0.243;;0.254333333333333;0.0140118997046558;3;15/04/2024;9h24;570060;7.83;0.529150262212918;;5.33333333333333;0.39425034347903;;3.16;0.0519615242270662;;1.49;0.0346410161513776;;0.8175;0.109601551083915;;;;;;;;;;;;;;;
;;4;0.123;0.203;0;;0.163;0.0565685424949238;2;15/04/2024;11h32;577740;8.04666666666667;0.47247574893674;;5.41333333333333;0.368284310463171;;3.11333333333333;0.0896288643983252;;1.57;0.03;;0.835;0.0848528137423857;;;;;;;;;;;;;;;
;11h06;0;0.409;0.539;0.497;0.004;0.481666666666667;0.0663425454239843;3;15/04/2024;14h45;589320;7.98666666666667;0.47437678414245;;5.27666666666667;0.170098010962307;;2.88666666666667;0.0493288286231624;;1.32666666666667;0.0513160143944689;;0.73;0.120208152801713;;;;;;;;;;;;;;;
;;1;0.406;0.461;0.523;;0.463333333333333;0.0585348898805944;3;15/04/2024;16h37;596040;8.20333333333333;0.508166639335301;;5.51;0.252388589282479;;3.12;0.0781024967590667;;1.50666666666667;0.0321455025366432;;0.8125;0.0601040764008565;;;;;;;;;;;;;;;
;;2;0.359;0.53;0.476;;0.455;0.0874128137060012;3;16/04/2024;9h08;655500;8.73;0.60770058416954;;5.66666666666667;0.295691280448601;;3.16333333333333;0.119303534454489;;1.45333333333333;0.0650640709864772;;0.8075;0.109601551083915;;;;;;;;;;;;;;;
;;3;0.296;0.307;0.307;;0.303333333333333;0.00635085296108589;3;16/04/2024;13h10;670020;8.64333333333333;0.609617366331811;;5.75666666666667;0.390683162336609;;3.04;0.137477270848675;;1.42;0.0499999999999999;;0.7675;0.0601040764008566;;;;;;;;;;;;;;;
;;4;0.146;0.241;0;;0.1935;0.0671751442127219;2;16/04/2024;15h23;678000;8.84333333333333;0.595343038368077;;5.83;0.386264158316559;;3.23333333333333;0.140118997046558;;1.46333333333333;0.00577350269189626;;0.8175;0.0883883476483184;;;;;;;;;;;;;;;
;13h16;0;0.442;0.552;;0.004;0.497;0.0777817459305206;2;16/04/2024;16h43;682800;8.91666666666667;0.516946160961984;;5.84;0.355949434611154;;3.16333333333333;0.194250697124446;;1.45666666666667;0.0378593889720019;;0.805;0.0777817459305202;;;;;;;;;;;;;;;
;;1;0.575;0.531;0.557;;0.554333333333333;0.022120880030716;3;17/04/2024;9h10;742020;9.26666666666667;0.5128677542343;;5.98;0.281602556806574;;3.06;0.14;;1.37666666666667;0.0723417813807023;;0.76;0.0777817459305202;;;;;;;;;;;;;;;
;;2;0.495;0.629;0.574;;0.566;0.0673572564761956;3;17/04/2024;11h15;749520;9.38666666666667;0.446019431564739;;6.14;0.230651251893416;;3.24333333333333;0.166232768530556;;1.44;0.0435889894354068;;0.7875;0.0954594154601839;;;;;;;;;;;;;;;
;;3;0.349;0.361;0.369;;0.359666666666667;0.0100664459136943;3;17/04/2024;14h10;760020;9.33666666666667;0.53425961229849;;5.90333333333333;0.306648550189518;;2.99;0.0199999999999998;;1.32666666666667;0.0750555349946513;;0.755;0.0848528137423857;;;;;;;;;;;;;;;
;;4;0.175;0.268;0;;0.2215;0.065760930650349;2;17/04/2024;16h13;767400;9.47666666666667;0.516946160961983;;6.07666666666667;0.249866631092135;;3.09;0.0984885780179612;;1.45666666666667;0.00577350269189626;;0.8625;0.1944543648263;;;;;;;;;;;;;;;
;15h10;0;0.61;0.669;0.699;0.012;0.659333333333333;0.0452806065919322;3;18/04/2024;8h55;827520;10.1433333333333;0.620671679177755;;6.26666666666667;0.215019378971602;;3.12666666666667;0.150443787951957;;1.35666666666667;0.0251661147842358;;0.76;0.0636396103067893;;;;;;;;;;;;;;;
;;1;0.548;0.619;0.557;;0.574666666666667;0.0386566078870525;3;18/04/2024;11h32;836940;10.76;0.900666419935816;;6.23666666666667;0.345880518869354;;3.13666666666667;0.128970280814354;;1.32666666666667;0.0850490054811538;;0.7425;0.102530483272049;;;;;;;;;;;;;;;
;;2;0.593;0.708;0.651;;0.650666666666667;0.0575007246331151;3;18/04/2024;13h55;845520;11.2066666666667;0.772614608542534;;6.21666666666667;0.323470761172217;;3.12333333333333;0.176162803489651;;1.36666666666667;0.0650640709864771;;0.7575;0.123743686707645;;;;;;;;;;;;;;;
;;3;0.398;0.417;0.434;;0.416333333333333;0.0180092568789868;3;18/04/2024;16h10;853620;10.38;0.693974062915899;;6.13333333333333;0.145716619962629;;3.03333333333333;0.0907377172587745;;1.30666666666667;0.045092497528229;;0.735;0.120208152801713;;;;;;;;;;;;;;;
;;4;0.195;0.297;0.003;;0.246;0.0721248916810279;2;19/04/2024;9h37;916440;11.3866666666667;0.773132157741051;;6.34;0.245560583156174;;3.08333333333333;0.198578280114753;;1.33666666666667;0.0503322295684716;;0.75;0.0919238815542511;;;;;;;;;;;;;;;
;17h05;0;0.692;0.736;0.874;0;0.767333333333333;0.0949596405497262;3;19/04/2024;11h39;923760;11.3266666666667;0.752684086010414;;6.43666666666667;0.202566861389847;;3.07666666666667;0.180092568789868;;1.28333333333333;0.0251661147842359;;0.735;0.106066017177981;;;;;;;;;;;;;;;
;;1;0.7;0.79;0.798;;0.762666666666667;0.0544181342323801;3;19/04/2024;17h59;946560;11.5333333333333;0.810514240055863;;6.63;0.251197133741609;;3.16333333333333;0.145716619962629;;1.29666666666667;0.0351188458428425;;0.7325;0.0388908729652601;;;;;;;;;;;;;;;
;;2;0.714;0.888;0.78;;0.794;0.087840765023991;3;22/04/2024;9h26;1174980;12.6066666666667;0.475114021402582;;6.87666666666667;0.185831464863551;;3.00666666666667;0.177857620959388;;1.22;0.0529150262212919;;0.6975;0.0742462120245875;;;;;;;;;;;;;;;
;;3;0.434;0.426;0.438;;0.432666666666667;0.00611010092660779;3;22/04/2024;10h57;1180440;12.62;0.589236794506249;;6.65333333333333;0.391066916694999;;2.98;0.216564078277077;;1.17333333333333;0.0757187779440036;;0.725;0.0989949493661167;;;;;;;;;;;;;;;
;;4;0.18;0.272;0;;0.226;0.0650538238691624;2;22/04/2024;18h11;1206480;12.3;0.332866339541864;;6.80666666666667;0.266520793435209;;2.92;0.175214154679352;;1.23333333333333;0.0513160143944689;;0.715;0.0848528137423857;;;;;;;;;;;;;;;
;18h31;0;0.824;0.954;0.882;0;0.886666666666667;0.0651255198315786;3;23/04/2024;11h17;1268040;12.4;0.398497176903426;;6.72666666666667;0.253245598842968;;2.88666666666667;0.204042479237372;;1.2;0.0556776436283003;;0.6825;0.0954594154601839;;;;;;;;;;;;;;;
;;1;0.842;0.844;0.752;;0.812666666666667;0.0525483903971695;3;23/04/2024;14h22;1279140;12.6933333333333;0.458839114868527;;6.72333333333333;0.352325606979302;;2.87666666666667;0.15534906930308;;1.21666666666667;0.0208166599946613;;0.71;0.0989949493661167;;;;;;;;;;;;;;;
;;2;0.806;0.984;0.88;;0.89;0.0894203556244326;3;23/04/2024;16h37;1287240;12.2266666666667;0.427707064862545;;6.66;0.15;;2.89;0.208806130178211;;1.25666666666667;0.0568624070307733;;0.705;0.0989949493661167;;;;;;;;;;;;;;;
;;3;0.476;0.514;0.538;;0.509333333333333;0.0312623309005156;3;24/04/2024;9h55;1349520;13.0666666666667;0.687701485626818;;6.74666666666667;0.195021366350801;;3;0.245153013442625;;1.29;0.0435889894354068;;0.5725;0.130814754519511;;;;;;;;;;;;;;;
;;4;0.198;0.336;0;;0.267;0.0975807358037436;2;24/04/2024;11h12;1354140;12.38;0.631506136153878;;6.65;0.383014360044111;;2.84666666666667;0.165630109984065;;1.21666666666667;0.0351188458428425;;0.71;0.0919238815542512;;;;;;;;;;;;;;;
;19h52;0;0.754;1.094;1.086;0;0.978;0.194030925370159;3;24/04/2024;16h38;1373700;12.9866666666667;0.710023473790363;;6.67;0.425323406362735;;2.79;0.141774468787578;;1.20333333333333;0.0378593889720019;;0.7125;0.102530483272049;;;;;;;;;;;;;;;
;;1;0.932;0.834;0.948;;0.904666666666667;0.0617197969320488;3;25/04/2024;9h47;1435440;12.6933333333333;0.371662929727103;;6.72666666666667;0.232450711621482;;2.98;0.278747197295327;;1.32666666666667;0.100166528008778;;0.7325;0.109601551083915;;;;;;;;;;;;;;;
;;2;0.866;1.038;0.924;;0.942666666666667;0.0875061902572232;3;25/04/2024;16h15;1458720;12.8;0.381051177665153;;6.66333333333333;0.336204302966713;;2.87666666666667;0.194250697124446;;1.25666666666667;0.070237691685685;;0.74;0.120208152801713;;;;;;;;;;;;;;;
;;3;0.566;0.576;0.592;;0.578;0.013114877048604;3;25/04/2024;17h32;1463340;12.5866666666667;0.513939036592215;;6.73666666666667;0.187705443004015;;2.78333333333333;0.145028732785381;;1.22666666666667;0.0251661147842359;;0.7025;0.0883883476483184;;;;;;;;;;;;;;;
;;4;0.25;0.382;0;;0.316;0.0933380951166243;2;26/04/2024;9h18;1520100;13.0333333333333;0.41198705481281;;6.49333333333333;0.217332310836041;;2.82333333333333;0.206478408879314;;1.25666666666667;0.102632028788938;;0.6825;0.0247487373415291;;;;;;;;;;;;;;;
11/04/2024;9h11;0;2.124;2.544;2.584;0;2.41733333333333;0.254820198048219;3;26/04/2024;13h50;1536420;13.24;0.57026309717533;;6.52333333333333;0.275741424768448;;2.76666666666667;0.251064400768674;;1.18333333333333;0.0650640709864771;;0.7025;0.081317279836453;;;;;;;;;;;;;;;
;;1;2.088;2.268;2.104;;2.15333333333333;0.0996259671638539;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;1.584;1.804;1.684;;1.69066666666667;0.110151410945722;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;0.908;0.982;0.978;;0.956;0.0416173040933696;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.436;0.584;0;;0.51;0.104651803615609;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10h11;0;2.305;2.775;2.845;0;2.64166666666667;0.29365512652316;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2.12;2.295;2.315;;2.24333333333333;0.107276900278361;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;1.75;1.865;1.79;;1.80166666666667;0.0583809329604566;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;0.94;1.016;0.996;;0.984;0.0393954312071845;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.484;0.592;0;;0.538;0.0763675323681471;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12h11;0;2.36;2.89;2.8;0;2.68333333333333;0.283607710285411;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2.235;2.2;2.38;;2.27166666666667;0.0954375886814693;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;1.695;1.84;1.785;;1.77333333333333;0.0732006375199925;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;0.956;1.018;1.036;;1.00333333333333;0.0419682419614324;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.478;0.636;0;;0.557;0.111722871427475;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14h30;0;2.75;3.34;2.575;0;2.88833333333333;0.400822071913882;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2.23;2.465;2.375;;2.35666666666667;0.118567842745549;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;1.735;1.945;1.805;;1.82833333333333;0.106926766215636;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.002;1.074;1.086;;1.054;0.0454312667664022;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.488;0.63;0;;0.559;0.10040916292849;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16h10;0;2.995;3.355;3.37;0;3.24;0.212308737455621;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2.255;2.62;2.565;;2.48;0.196786686541544;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;1.735;1.93;1.88;;1.84833333333333;0.101283430694923;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.035;1.14;1.17;;1.115;0.0708872343937891;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.48;0.618;0;;0.549;0.0975807358037443;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17h30;0;3.19;4;4;0;3.73;0.467653718043599;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2.47;2.79;2.66;;2.64;0.160934769394311;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;1.95;2.07;2.08;;2.03333333333333;0.0723417813807024;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.14;1.24;1.29;;1.22333333333333;0.0763762615825974;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.532;0.656;0;;0.594;0.0876812408671314;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/04/2024;9h02;0;3.81;4.63;4.65;0;4.36333333333333;0.479305052480498;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2.96;3.67;3.49;;3.37333333333333;0.36909799963334;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;2.32;2.4;2.41;;2.37666666666667;0.0493288286231626;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.36;1.42;1.44;;1.40666666666667;0.0416333199893226;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.636;0.764;0;;0.7;0.0905096679918781;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11h32;0;4.35;4.49;4.79;0;4.54333333333333;0.224796204001165;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;3.2;3.38;3.49;;3.35666666666667;0.146401275039985;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;2.32;2.45;2.5;;2.42333333333333;0.0929157324317758;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.31;1.41;1.33;;1.35;0.0529150262212917;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.6;0.756;0;;0.678;0.110308657865102;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13h47;0;4.39;4.88;4.93;0;4.73333333333333;0.298384539367128;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;3.13;3.66;3.56;;3.45;0.281602556806575;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;2.43;2.49;2.4;;2.44;0.0458257569495585;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.38;1.53;1.5;;1.47;0.0793725393319378;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.685;0.8;0;;0.7425;0.081317279836453;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15h28;0;4.28;4.75;5.12;0;4.71666666666667;0.420990894596704;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;3.26;3.7;3.69;;3.55;0.25119713374161;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;2.31;2.41;2.46;;2.39333333333333;0.0763762615825973;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.32;1.42;1.4;;1.38;0.0529150262212917;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.65;0.77;0;;0.71;0.0848528137423857;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17h40;0;4.23;4.93;5.11;0;4.75666666666667;0.464901423242964;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;3.32;3.66;3.57;;3.51666666666667;0.176162803489651;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;2.39;2.36;2.08;;2.27666666666667;0.170977581376429;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;1.24;1.44;1.44;;1.37333333333333;0.115470053837925;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;0.64;0.76;0;;0.7;0.0848528137423857;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;19h23;0;4.6;5.22;5.31;0;5.04333333333333;0.386566078870525;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;3.34;3.82;3.6;;3.58666666666667;0.240277617212535;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;2.46;2.59;2.5;;2.51666666666667;0.0665832811847939;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
